raw.file,biological.replicate,technical.replicate,fraction
M456-A01-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,1
M456-A02-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,2
M456-A03-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,3
M456-A04-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,4
M456-A05-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,5
M456-A06-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,6
M456-A07-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,7
M456-A08-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,8
M456-A09-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,1,1,9
M456-A10-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,10
M456-B01-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,1
M456-B02-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,2
M456-B03-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,3
M456-B04-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,4
M456-B05-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,5
M456-B06-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,6
M456-B07-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,7
M456-B08-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,8
M456-B09-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,9
M456-B10-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,2,1,10
M456-C01-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,1
M456-C02-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,2
M456-C03-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,3
M456-C04-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,4
M456-C05-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,5
M456-C06-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,6
M456-C07-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,7
M456-C08-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,8
M456-C09-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,9
M456-C10-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,3,1,10
M456-D01-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,1
M456-D02-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,2
M456-D03-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,3
M456-D04-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,4
M456-D05-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,5
M456-D06-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,6
M456-D07-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,7
M456-D08-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,8
M456-D09-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,9
M456-D10-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,4,1,10
M456-E01-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,1
M456-E02-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,2
M456-E03-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,3
M456-E04-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,4
M456-E05-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,5
M456-E06-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,6
M456-E07-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,7
M456-E08-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,8
M456-E09-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,9
M456-E10-O207-T87S1-T87S2-T87S3-T88S1-T88S2-T88S3-P5329-1,5,1,10
